year,Highlight
1990,80
1991,83
1992,88
1993,80
1994,70
1995,81
1996,85
1997,86
1998,86
1999,88
2000,91
2001,92
2002,95
2003,100
2004,180
2005,200
2006,260
2007,300
2008,360
2009,350
2010,370
2011,400
2012,410
2013,425
2014,450
2015,445
2016,410
2017,430
2018,450
2019,525
2020,600
2021,675
2022,750
2023,825
2024,700
2025,575
2026,450
2027,325
2028,200
2029,75
2030,-50
2031,-175
2032,-300
2033,500
2034,600
2035,610
2036,615
2037,620
2038,630
2039,600
2040,640
2041,680
2042,650
2043,640
2044,664
2045,670
2046,677
2047,684
2048,691
2049,698
2050,705
2051,703
2052,701
2053,699
2054,697
2055,695
2056,693
2057,691
2058,689
2059,687
2060,685
2061,683
2062,681
2063,679
2064,677
2065,675
2066,673
2067,671
2068,669
2069,667
2070,665
2071,663
2072,661
2073,659
2074,657
2075,655
2076,653
2077,700
2078,750
2079,720
2080,720
2081,720
2082,720
2083,720
2084,720
2085,720
2086,720
2087,720
2088,740
2089,720
2090,740
2091,750
